filename	refID	dokID	shortTitle	title
nl-20200507-040.xml	lov/2020-05-07-40	NL/lov/2020-05-07-40	Bredbåndsutbyggingsloven	Lov om tilrettelegging for utbygging av høyhastighetsnett for elektronisk kommunikasjon (bredbåndsutbyggingsloven)
nl-20200512-041.xml	lov/2020-05-12-41	NL/lov/2020-05-12-41	Lov om informasjonstilgang (fornorskingspolitikk)	Lov om informasjonstilgang mv. for Kommisjonen for å granske fornorskingspolitikk og urett overfor samer, kvener og norskfinner
nl-20200529-059.xml	lov/2020-05-29-59	NL/lov/2020-05-29-59	Medieansvarsloven	Lov om redaksjonell uavhengighet og ansvar i redaktørstyrte journalistiske medier (medieansvarsloven)
nl-20200619-077.xml	lov/2020-06-19-77	NL/lov/2020-06-19-77	Etterretningstjenesteloven	Lov om Etterretningstjenesten (etterretningstjenesteloven)
nl-20200619-095.xml	lov/2020-06-19-95	NL/lov/2020-06-19-95	Lov om infrastruktur for alternativt drivstoff	Lov om infrastruktur for alternativt drivstoff
nl-20200623-098.xml	lov/2020-06-23-98	NL/lov/2020-06-23-98	Forbrukerklageloven	Lov om behandling av forbrukerklager i Forbrukertilsynet og Forbrukerklageutvalget (forbrukerklageloven)
nl-20200623-099.xml	lov/2020-06-23-99	NL/lov/2020-06-23-99	Lov om tilskudd ved avbrutt permittering	Lov om tilskudd ved avbrutt permittering (økonomiske tiltak i møte med virusutbruddet)
nl-20200623-110.xml	lov/2020-06-23-110	NL/lov/2020-06-23-110	Lov om midl. kompensasjon ved nullsats for arbeidsgiveravgift	Lov om midlertidig kompensasjonsordning for arbeidsgivere med nullsats for beregning av arbeidsgiveravgift (Sone V og Svalbard)
nl-20201106-127.xml	lov/2020-11-06-127	NL/lov/2020-11-06-127	Integreringsloven	Lov om integrering gjennom opplæring, utdanning og arbeid (integreringsloven)
nl-20201120-128.xml	lov/2020-11-20-128	NL/lov/2020-11-20-128	Revisorloven	Lov om revisjon og revisorer (revisorloven)
nl-20201127-131.xml	lov/2020-11-27-131	NL/lov/2020-11-27-131	Brexit-loven	Lov om overgangsregler mv. ved Storbritannias uttreden fra Den europeiske union (brexit-loven)
nl-20201204-136.xml	lov/2020-12-04-136	NL/lov/2020-12-04-136	Koronakommisjonsloven	Lov om informasjonstilgang m.m. for den uavhengige kommisjonen som skal gjennomgå og evaluere myndighetenes håndtering av covid-19-pandemien i Norge (Koronakommisjonen)
nl-20201218-139.xml	lov/2020-12-18-139	NL/lov/2020-12-18-139	Endringslov til folketrygdloven (nye etterlatteytelser)	Lov om endringer i folketrygdloven (nye etterlatteytelser)
nl-20201218-146.xml	lov/2020-12-18-146	NL/lov/2020-12-18-146	Finansavtaleloven	Lov om finansavtaler (finansavtaleloven)
nl-20201218-153.xml	lov/2020-12-18-153	NL/lov/2020-12-18-153	Mediestøtteloven	Lov om økonomisk støtte til mediene (mediestøtteloven)
nl-20201218-156.xml	lov/2020-12-18-156	NL/lov/2020-12-18-156	Lov om midl. tilskudd ved omsetningsfall etter august 2020	Lov om midlertidig tilskuddsordning for foretak med stort omsetningsfall etter august 2020
nl-20201221-175.xml	lov/2020-12-21-175	NL/lov/2020-12-21-175	Lov om midl. tilskudd for innreisekarantene	Lov om midlertidig tilskuddsordning for foretak med utgifter til innreisekarantene ved bruk av arbeidskraft fra utlandet
nl-20210305-007.xml	lov/2021-03-05-7	NL/lov/2021-03-05-7	Endringslov til deltakerloven og havressurslova	Lov om endringar i deltakerloven og havressurslova (endringar i kvotesystemet)
nl-20210416-018.xml	lov/2021-04-16-18	NL/lov/2021-04-16-18	Sanksjonsloven	Lov om gjennomføring av internasjonale sanksjoner (sanksjonsloven)
nl-20210423-022.xml	lov/2021-04-23-22	NL/lov/2021-04-23-22	Endringslov til finansforetaksloven mv.	Lov om endringer i finansforetaksloven mv. (verdipapirisering og kreditorhierarki)
nl-20210521-042.xml	lov/2021-05-21-42	NL/lov/2021-05-21-42	Språklova	Lov om språk (språklova)
nl-20210528-049.xml	lov/2021-05-28-49	NL/lov/2021-05-28-49	Lov om kollektiv forvaltning av opphavsrett mv.	Lov om kollektiv forvaltning av opphavsrett mv.
nl-20210611-079.xml	lov/2021-06-11-79	NL/lov/2021-06-11-79	Tolkeloven	Lov om offentlige organers ansvar for bruk av tolk mv. (tolkeloven)
nl-20210611-084.xml	lov/2021-06-11-84	NL/lov/2021-06-11-84	Endringslov til aksjelovgivningen mv.	Lov om endringer i aksjelovgivningen mv. (åpenhet om eierskap og deltakelse på generalforsamlingen)
nl-20210618-089.xml	lov/2021-06-18-89	NL/lov/2021-06-18-89	Lov om Norges kontinentalsokkel	Lov om Norges kontinentalsokkel
nl-20210618-097.xml	lov/2021-06-18-97	NL/lov/2021-06-18-97	Barnevernsloven – bvl	Lov om barnevern (barnevernsloven)
nl-20210618-099.xml	lov/2021-06-18-99	NL/lov/2021-06-18-99	Åpenhetsloven	Lov om virksomheters åpenhet og arbeid med grunnleggende menneskerettigheter og anstendige arbeidsforhold (åpenhetsloven)
nl-20210618-115.xml	lov/2021-06-18-115	NL/lov/2021-06-18-115	Forsvarsombudsloven	Lov om Stortingets ombudsnemnd for Forsvaret (forsvarsombudsloven)
nl-20210618-119.xml	lov/2021-06-18-119	NL/lov/2021-06-18-119	Lov om informasjonstilgang (overgrep begått av helsepersonell)	Lov om informasjonstilgang m.m. for utvalg som skal undersøke saker om overgrep begått av helsepersonell mot pasienter i perioden 2010 til 2020
nl-20210618-121.xml	lov/2021-06-18-121	NL/lov/2021-06-18-121	Sivilombudsloven	Lov om Stortingets ombud for kontroll med forvaltningen (sivilombudsloven)
nl-20210618-136.xml	lov/2021-06-18-136	NL/lov/2021-06-18-136	Lov om røystingsrådgjevarar	Lov om røystingsrådgjevarar
nl-20210618-139.xml	lov/2021-06-18-139	NL/lov/2021-06-18-139	Lov om utleie av små elektriske kjøretøy på offentlig grunn	Lov om utleie av små elektriske kjøretøy på offentlig grunn
